,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius,Luminosity
0,SDSS J000013.54+255418.6 [de],46.1,48,0.99,0,Sun,0.000015813,1,1,1
1,2MASS J00040288-6410358,192,19,1.63,1,Sirius,0008.6,2.1,1.71´,25.4
2,LHS 102BC,,,,2,Canopus,0310,15,71,"13,500"
3,2MASS J00242463-0158201,37.7,79,1.09,3,Alpha Centauri,0004.4,1.1,1.2,2
4,2MASS J00250365+4759191AB,143,,,4,Arcturus,0037,1.1,26,170
5,2MASS J00274197+0503417,236,31,1.44,5,Vega,0025,2.2,2.7,50
6,2MASS J00275592+2219328,46.9,,,6,Capella,0043,2.6,12,150
7,2MASSW J0030300-145033,87.2,54,0.98,7,Rigel,0860,23,78.9,"120,000"
8,2MASS J00332386-1521309 [de],131,29,1.43,8,Procyon,0011.4,1.5,1.9,7.7
9,2MASS J00345157+0523050,31,42,0.94,9,Betelgeuse,0640[1],20,950,"60,000"
10,2MASS 0036+1821,28.6,42,0.94,10,Achernar,0144,6.7,9.3,"3,000"
11,2MASSW J0045214+163445,57,23,1.62,11,Hadar,0390,10.5,8.6,"42,000"
12,WISEP J004701.06+680352.1 [fr],40,12,1.3,12,Altair,0017,1.8,1.8,10.5
13,2MASS J00501994-3322402 [de],34,40,0.94,13,Acrux,0320,18,8.9,"25,000"
14,2MASS J00034227-2822410,,,,14,Aldebaran,0065,1.5,44,520
15,2MASS J00584253-0651239 [de],96,29,1.43,15,Antares,0600,12,680,"75,000"
16,CFBDS J005910.90–011401.3,30,23,,16,Spica,0260,11.43,7.47,"20,512"
17,2MASSI J0103320+193536,70,52,0.98,17,Pollux,0034,1.9,8.8,43
18,SDSSp J010752.33+004156.1 [de],51,52,0.98,18,Fomalhaut,0025,1.9,1.8,16.6
19,2MASSI J0117474-340325 [de],163,20,1.62,19,Deneb,"2,600",19,203,"200,000"
20,2MASS J01415823-4633574 [de],130,20,1.61,20,Mimosa,0350,16,8.4,"34,000"
21,SDSS J015141.69+124429.6,70,47,0.97,21,Regulus,0077,3.8,3.1,290
22,DENIS-P J020529.0−115925A,65,,,22,Adhara,0430,12.5,14,"39,000"
23,DENIS-P J020529.0−115925B,65,,,23,Shaula,0700,14.5,8.8,"36,000"
24,DENIS-P J020529.0−115925C,65,,,24,Castor,0052,2.8,2.4,30
25,SDSS J020742.48+000056.2 [de],111,47,0.97,25,Gacrux,0088,1.5,84,820
26,2MASS J02103857-3015313,101,15,1.53,26,Bellatrix,0240,8.6,5.8,"9,200"
27,2MASS J02340093-6442068,155,20,1.62,27,Elnath,0130,5.0,4.2,700
28,2MASS J02411151-0326587 [de],152,27,1.41,28,Miaplacidus,0110,3.5,6.8,290
29,2MASS J02431371−2453298,35,33,0.99,29,Alnilam,"2,000",32,42,"380,000"
30,LP 771-21,53,78,1.08,30,Gamma Velorum,"01,100",9.0,6,"170,000"
31,2MASS J02511327+0047364,,,,31,Alnair,0101,4.0,3.4,260
32,Teegarden's star,12.578,80,1.27,32,Alioth,0081,2.9,4.2,110
33,2MASS J02535980+3206373,184,65,1.9,33,Alnitak,01050,33,20,"120,000"
34,WISE J0254+0223,24,65,1.9,34,Dubhe,0120,4.25,30,300
35,DEN 0255-4700,16.2,80,0.97,35,Mirfak,0590,8.5,68,"5,000"
36,2MASS J03185403-3421292 [de],45,49,0.97,36,Wezen,"1,600",17,200,"82,000"
37,2MASS J03205965+1854233,47,88,1.15,37,Sargas,0270,5.7,26,"1,800"
38,2MASS J03231002-4631237,192,23,1.66,38,Kaus Australis,0140,3.5,6.8,360
39,SDSS J032553.17+042540.1,59,45,0.95,39,Avior,0630,9.0,130,"60,000"
40,2MASS J03264225-2102057 [de],80,18,1.3,40,Alkaid,0104,6.1,3.4,"1,350"
41,2MASS J03284265+2302051 [de],98,54,0.98,41,Menkalinan,081,2.39,2.77,50
42,2MASS J03341218-4953322,27.0,73,1.04,42,Atria,0390,7,92,"5,500"
43,LP 944-20,20.9,73,1.43,43,Alhena,0109,2.8,3.3,120
44,2MASP J0345432+254023,88,74,1.05,44,Peacock,0180,5.9,4.8,"2,200"
45,Teide 1,380,55,3.78,45,Alsephina[2],0080,2.4,2.9,90
46,2MASS J03510004-0052452,48,102,1.27,46,Mirzam,0500,13.5,10,"27,000"
47,2MASS J03552337+1133437,29.8,20,1.32,47,Polaris,0430,5.4,39,"2,500"
48,DENIS-P J035726.9-441730 [de],130,,,48,Alphard,0180,3.0,50,780
49,2MASS J04151954−0935066,18.6,30,0.95,49,Scheat,0196,2.1,95,"1,500"
50,SDSSp J042348.57-041403.5 [de],50,,,50,Almaaz,0653,15,140,"43,000"
51,2MASS J04285096-2253227 [de],85,80,1.09,51,Rasalgethi,0360,2.8,280,"8,300"
52,2MASS J04351612-1606574,34,100,1.26,52,Tau Ceti,011.9,0.783,0.893,0.52
53,2MASS J04362788-4114465,142,39,1.97,53,Delta Pavonis,019.92,0.991,1.22,1.22
54,2MASS J04390101-2353083 [de],29.5,48,0.97,54,Ran,010.48,0.82,0.74,0.34
55,2MASS J04414489+2301513,470,19,,55,V382 Carinae,"08,900",20,485,"212,000"
56,2MASS J04433764+0002040,82,22,1.78,56,Eta Carinae,"07,500",100,60–881,"5,000,000"
57,2MASS J04455387-3048204 [de],42,64,1.00,57,Delta Cephei,0887,4.5,44.5,"2,000"
58,2MASS J04510093-3402150 [de],69,1.04,72,58,Mu Cephei,"06,000",19.2,972,"135,000"
59,2MASS J05002100+0330501 [de],44,64,1.00,59,Titawin,044.25,1.27,1.48,3.57
60,2MASS J05012406-0010452 [de],64,21,1.38,60,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"
61,2MASS J05160945-0445499 [de],73,47,0.97,61,P Cygni,"05,545",30,76,"610,000"
62,2MASS J0523−1403,40,68,1.01,62,La Superba,"01,000",,129 - 342,"2,472 - 5,800"
63,2MASS 0532+8246,81,83,,63,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
64,SDSS J053951.99-005902.0,41.62,61,1.01,64,61 Cygni,011.41,0.7,0.665,0.153
65,2MASS J05591914-1404488 [de],34,,,65,R Doradus,0178,0.7 - 1.0,298,"4,350"
66,LSR 0602+3910 [de],34.6,28,1.41,66,Polaris Australis,0281,1.59,3.74,38
67,2MASS J06085283-2753583,102,38,1.51,67,R Coronae Borealis,"04,566",0.85,85,"10,000"
68,WISEP J061135.13-041024.0A,69,65,,68,54 Piscium,036.1,0.76,0.94,0.52
69,WISEP J061135.13-041024.0B,69,53,,69,Mira,0300,1.2,370,"9,000"
70,2MASS J06244595-4521548 [de],39,56,0.99,70,RW Cephei,"014,000",13.9,"1,158","417,000"
71,2MASS J06411840-4322329 [de],65,67,1.01,71,Lacaille 8760,012.87,0.6,0.51,0.072
72,DENIS-P J0652197-253450 [de],51,75,1.05,72,V838 Monocerotis,"019,896",?,380 - 750,"15,000"
73,2MASS J07003664+3157266 [de],40,,,73,HD 140283,0190,?,1.4,3.83
74,2MASS J07075327-4900503,60,72,1.03,74,II Pegasi,0130,0.8,3.4,1.06
75,UGPS J072227.51-054031.2,13.4,26,0.98,75,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
76,2MASSI J0727182+171001 [de],29.6,41,0.94,76,Pistol Star,"025,000",100,320,"1,700,000"
77,2MASS J07290002-3954043 [de],25.8,37,0.94,77,S Doradus,"0169,000",24,380,"910,000"
78,SDSS J074201.41+205520.5 [de],49,43,0.94,78,UY Scuti,"05,100",7–10,755,"86,300 - 87,100"
79,2MASS J0746425+200032 [fr],49.6,,,79,Barnard's Star,05.98,0.14,0.20,0.0035
80,DENIS-P J0751164-253043 [de],55,71,1.03,80,Luhman 16,06.52,0.04,?,?
81,2MASS J07522390+1612157,60,2.01,68,81,Proxima Centauri,04.25,0.12,0.15,0.0017
82,DENIS J081730.0-615520,16.1,44,0.94,82,KIC 8462852,"01,470",1.43,1.58,4.68
83,DENIS J082303.1−491201A,67,44,,83,R136a1,"0163,000",290,32,"8,710,000"
84,DENIS J082303.1−491201B,67,28,,84,Melnick 42,"0163,000",189,21.1,"3,600,000"
85,2MASS J08251968+2115521 [de],35,52,0.98,85,WR 102,"018,134",19,0.39,"282,000"
86,SDSSp J083008.12+482847.4 [de],43,48,0.99,86,VFTS 352,"0164,000",57.48,14.47,"330,000"
87,LHS 2021,55,88,1.15,87,YBP 1194,"02,772",1.01,0.99,0.98
88,SDSS J083048.80+012831.1 [de],77,46,0.96,88,Gliese 1214,047.5,0.16,0.21,0.0033
89,2MASSI J0835425-081923 [de],23.53,62,1.00,89,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
90,2MASSI J0847287-153237 [de],43,64,1.00,90,VB 10,018.72,0.075,0.10,0.0004
91,2MASS J08533619-0329321,27.6,77,1.07,91,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
92,2MASSI J0859254-194926 [de],50,50,0.98,92,TRAPPIST-1,039.6,0.089,0.12,0.0005
93,2MASSW J0920122+351742 [de],95,,,93,2MASS J0523-1403,040.3,0.07,0.086,0.00013
94,2MASSI J0937347+293142,20.0,42,0.94,94,WISE 0855−0714,07.27,0.003,?,?
95,2MASS 0939−2448,17.4,32,0.95,95,Icarus,"014,400,000,000",33,?,"850,000"
